House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status,,,
5600,15TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FGYR,F 1509 56TH AV E,5600 15TH ST E,,,,
5610,15TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FBN2,F 1509 56TH AV E,5610 15TH ST E,,,,
5726,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FVDQ,F 23 NORRIS CIR,5726 15TH ST E,,,,
5804,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FTBK,F 34 NORRIS CIR,5804 15TH ST E,,,,
5810,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FRRU,F 5810 15TH ST E,5810 15TH ST E,,,,
5811,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FW7X,F 1601 58TH AV E,5811 15TH ST E,,,,
5816,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FWMK,F 5810 15TH ST E,5816 15TH ST E,Y,,,
5822,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FVB0,F 5822 15TH ST E,5822 15TH ST E,,,,
5900,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FT58,F 5822 15TH ST E,5900 15TH ST E,,,,
5914,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FSYJ,F 25 NORRIS CIR,5914 15TH ST E,,,,
5924,15TH ST E,COTTONDALE,35453,,,,,,,210402,000010FXM9,F 22 NORRIS CIR,5924 15TH ST E,,,,
5404,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FRAB,F 5404 17TH ST E,5404 17TH ST E,,,,
5418,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FHVV,F 5404 17TH ST E,5418 17TH ST E,,,,
5430,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FND7,F 5400 17TH ST E,5430 17TH ST E,,,,
5433,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FM7R,F 5500 17TH ST E,5433 17TH ST E,,,,
5434,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FOK0,F 5400 17TH ST E,5434 17TH ST E,,,,
5440,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FHJ8,F 5500 17TH ST E,5440 17TH ST E,,,,
5505,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FDNU,F 5506 17TH ST E,5505 17TH ST E,,,,
5506,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FD5H,F 5500 17TH ST E,5506 17TH ST E,,,,
5513,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FBLH,F 5506 17TH ST E,5513 17TH ST E,,,,
5520,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FGBX,F 1537 55TH CT E,5520 17TH ST E,,,,
5521,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FDI3,F 5506 17TH ST E,5521 17TH ST E,,,,
5526,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FDHS,F 5506 17TH ST E,5526 17TH ST E,,,,
5527,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FQAS,F 5506 17TH ST E,5527 17TH ST E,,,,
5536,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FCST,F 1633 56TH AV E,5536 17TH ST E,,,,
5537,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FELY,F 1702 56TH AV E,5537 17TH ST E,,,,
5627,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FH1I,F 5703 17TH ST E,5627 17TH ST E,,,,
5703,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FE0L,F 5703 17TH ST E,5703 17TH ST E,,,,
5719,17TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FF31,F 5803 17TH ST E,5719 17TH ST E,,,,
5803,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FUE1,F 1709 58TH AV E,5803 17TH ST E,,,,
5809,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FS6I,F 3 NORRIS CIR,5809 17TH ST E,,,,
5810,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FS8B,F 1709 58TH AV E,5810 17TH ST E,,,,
5815,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FWFK,F 3 NORRIS CIR,5815 17TH ST E,,,,
5820,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FRNA,F 3 NORRIS CIR,5820 17TH ST E,,,,
5908,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FWVI,F 46 NORRIS CIR,5908 17TH ST E,,,,
5913,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FTW5,F 7 NORRIS CIR,5913 17TH ST E,,,,
5919,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FT0M,F 8 NORRIS CIR,5919 17TH ST E,,,,
5922,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FUCP,F 13 NORRIS CIR,5922 17TH ST E,,,,
5927,17TH ST E,COTTONDALE,35453,,,,,,,210402,0000P5IAMQ,F 8 NORRIS CIR,5927 17TH ST E,Y,,,
6005,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FUUB,F 9 NORRIS CIR,6005 17TH ST E,,,,
6008,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FTZJ,F 10 NORRIS CIR,6008 17TH ST E,,,,
6011,17TH ST E,COTTONDALE,35453,,,,,,,210402,000010FWG9,F 9 NORRIS CIR,6011 17TH ST E,,,,
4527,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FDX2,F 1726 54TH CT E,4527 18TH ST E,,,,
5423,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FFBW,F 5424 18TH ST E,5423 18TH ST E,,,,
5424,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FC2O,F 5424 18TH ST E,5424 18TH ST E,,,,
5434,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FF7Y,F 5424 18TH ST E,5434 18TH ST E,,,,
5501,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FB78,F 5424 18TH ST E,5501 18TH ST E,,,,
5506,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FBGR,F 5506 18TH ST E,5506 18TH ST E,,,,
5511,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FM52,F 5506 18TH ST E,5511 18TH ST E,,,,
5514,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FDQ8,F 5506 18TH ST E,5514 18TH ST E,,,,
5517,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FBS6,F 5500 18TH ST E,5517 18TH ST E,,,,
5518,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,00000KO3JD,F 5500 18TH ST E,5518 18TH ST E,,,,
5527,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FH1M,F 5500 18TH ST E,5527 18TH ST E,,,,
5530,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FFZ9,F 5500 18TH ST E,5530 18TH ST E,,,,
